n,d,degree,seed,basis_size_m,generator_type,solver,method,round,status,value,solve_time,wall_time,error,basis_condition
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal_inaccurate,-73602.64183541239,0.00175469,0.12804482295177877,,1.0
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-275.9198886185961,0.001738279,0.10358187695965171,,1913.7751867072482
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,-0.26898539170867897,0.001469181,0.10314117791131139,,104.12711345876124
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,0.008717135539812038,0.001263936,0.10412581800483167,,27.947240355495452
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,0.00871718657439933,0.00069992,0.10418143798597157,,20711.865492510748
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,0.008717240771001037,0.000769504,0.1303168770391494,,25430.571673526647
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.00871726658924911,0.000716585,0.10546384006738663,,350872.1108845769
2,2,4,9,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.050991406012857905,0.000524063,0.02834334096405655,,1.0
2,2,4,9,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.001649244,0.10792247008066624,,1.0
2,2,4,9,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.050991341654187824,0.000922811,0.10699278605170548,,238727.8399370962
2,3,6,0,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.0875351427330895,0.002642519,0.06855642003938556,,1.0
2,3,6,0,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.005416343,0.3593735540052876,,1.0
2,3,6,0,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.0875350777687731,0.003309458,0.35745876806322485,,270289.4554469258
2,3,6,1,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.3162570678272185,0.001875027,0.07547763199545443,,1.0
2,3,6,1,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,exception,,,0.28856437909416854,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")",1.0
2,3,6,1,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.3162571086053182,0.00289801,0.3172317580319941,,9242.287433901738
2,3,6,2,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.20285759705218245,0.003413645,0.06487280793953687,,1.0
2,3,6,2,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,exception,,,0.3267544429982081,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")",1.0
2,3,6,2,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.20285754204218867,0.002936269,0.3583317690063268,,351729.28691979754
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.09391231331712989,0.002374505,0.06737378693651408,,1.0
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-94246.40852763278,0.006211436,0.29333849693648517,,1.0
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-53.96658742795899,0.007894866,0.30014916392974555,,475.1648603662864
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,-1.7666248914896718,0.006698032,0.3871467299759388,,17.402437563943185
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,-0.45148577682618746,0.003797464,0.2991306680487469,,17.03913175617358
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,-0.1582255286374229,0.004918556,0.31720793806016445,,59.40598550818075
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,0.03520082763235956,0.005119134,0.29017785494215786,,54.38797589760933
