n,d,degree,seed,basis_size_m,generator_type,solver,method,round,status,value,solve_time,wall_time,error,basis_condition,is_success,finite_value,sos_value,gap_to_sos,rel_gap_to_sos
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal_inaccurate,-73602.64183541239,0.00175469,0.12804482295177877,,1.0,True,-73602.64183541239,0.008717496225461044,73602.65055290861,73602.65055290861
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-275.9198886185961,0.001738279,0.10358187695965171,,1913.7751867072482,True,-275.9198886185961,0.008717496225461044,275.92860611482155,275.92860611482155
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,-0.26898539170867897,0.001469181,0.10314117791131139,,104.12711345876124,True,-0.26898539170867897,0.008717496225461044,0.27770288793414,0.27770288793414
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,0.008717135539812038,0.001263936,0.10412581800483167,,27.947240355495452,True,0.008717135539812038,0.008717496225461044,3.6068564900591793e-07,3.6068564900591793e-07
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,0.00871718657439933,0.00069992,0.10418143798597157,,20711.865492510748,True,0.00871718657439933,0.008717496225461044,3.096510617136422e-07,3.096510617136422e-07
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,0.008717240771001037,0.000769504,0.1303168770391494,,25430.571673526647,True,0.008717240771001037,0.008717496225461044,2.554544600071734e-07,2.554544600071734e-07
2,2,4,8,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.00871726658924911,0.000716585,0.10546384006738663,,350872.1108845769,True,0.00871726658924911,0.008717496225461044,2.2963621193299033e-07,2.2963621193299033e-07
2,2,4,9,6,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.050991406012857905,0.000524063,0.02834334096405655,,1.0,True,0.050991406012857905,0.050991406012857905,0.0,0.0
2,2,4,9,6,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.001649244,0.10792247008066624,,1.0,False,,0.050991406012857905,,
2,2,4,9,6,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.050991341654187824,0.000922811,0.10699278605170548,,238727.8399370962,True,0.050991341654187824,0.050991406012857905,6.435867008075524e-08,6.435867008075524e-08
2,3,6,0,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.0875351427330895,0.002642519,0.06855642003938556,,1.0,True,0.0875351427330895,0.0875351427330895,0.0,0.0
2,3,6,0,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.005416343,0.3593735540052876,,1.0,False,,0.0875351427330895,,
2,3,6,0,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.0875350777687731,0.003309458,0.35745876806322485,,270289.4554469258,True,0.0875350777687731,0.0875351427330895,6.49643163985747e-08,6.49643163985747e-08
2,3,6,1,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.3162570678272185,0.001875027,0.07547763199545443,,1.0,True,0.3162570678272185,0.3162570678272185,0.0,0.0
