n,d,degree,seed,basis_size_m,generator_type,solver,method,round,status,value,solve_time,wall_time,error,basis_condition,is_success,finite_value,sos_value,gap_to_sos,rel_gap_to_sos
2,3,6,0,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.0875351427330895,0.001393984,0.07185074605513364,,1.0,True,0.0875351427330895,0.0875351427330895,0.0,0.0
2,3,6,0,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.003502725,0.27663396298885345,,1.0,False,,0.0875351427330895,,
2,3,6,0,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.0875350777687731,0.002156277,0.31122021505143493,,270289.4554469258,True,0.0875350777687731,0.0875351427330895,6.49643163985747e-08,6.49643163985747e-08
2,3,6,1,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.3162570678272185,0.00112715,0.04785247799009085,,1.0,True,0.3162570678272185,0.3162570678272185,0.0,0.0
2,3,6,1,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,exception,,,0.3342133539263159,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")",1.0,False,,0.3162570678272185,,
2,3,6,1,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.3162571086053182,0.003159242,0.3558335230918601,,9242.287433901738,True,0.3162571086053182,0.3162570678272185,-4.0778099674732005e-08,-4.0778099674732005e-08
2,3,6,2,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.20285759705218245,0.002776543,0.07436424598563462,,1.0,True,0.20285759705218245,0.20285759705218245,0.0,0.0
2,3,6,2,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,exception,,,0.37792417500168085,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")",1.0,False,,0.20285759705218245,,
2,3,6,2,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.20285754204218867,0.002923727,0.2986025359714404,,351729.28691979754,True,0.20285754204218867,0.20285759705218245,5.500999378238447e-08,5.500999378238447e-08
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.09391231331712989,0.002206738,0.06375417206436396,,1.0,True,0.09391231331712989,0.09391231331712989,0.0,0.0
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-94246.40852763278,0.005954995,0.3051604820648208,,1.0,True,-94246.40852763278,0.09391231331712989,94246.5024399461,94246.5024399461
2,3,6,3,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.09391227494918984,0.003677609,0.3400818620575592,,497246.16800079495,True,0.09391227494918984,0.09391231331712989,3.8367940047301374e-08,3.8367940047301374e-08
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.020012561071006185,0.002439351,0.08691552293021232,,1.0,True,0.020012561071006185,0.020012561071006185,0.0,0.0
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-3566.272447638653,0.004679663,0.33733626001048833,,1.0,True,-3566.272447638653,0.020012561071006185,3566.292460199724,3566.292460199724
2,3,6,4,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,exception,,,0.3681628330377862,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")",332929.908018064,False,,0.020012561071006185,,
2,3,6,5,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.18507480594764875,0.002113506,0.07138932996895164,,1.0,True,0.18507480594764875,0.18507480594764875,0.0,0.0
2,3,6,5,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.006086275,0.32335395796690136,,1.0,False,,0.18507480594764875,,
2,3,6,5,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.18507372855261026,0.003024199,0.32035727007314563,,284978.61808921763,True,0.18507372855261026,0.18507480594764875,1.0773950384901365e-06,1.0773950384901365e-06
2,3,6,6,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.16311526639638813,0.002158324,0.06419214804191142,,1.0,True,0.16311526639638813,0.16311526639638813,0.0,0.0
2,3,6,6,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal_inaccurate,-290881.088184785,0.005924218,0.3031655610539019,,1.0,True,-290881.088184785,0.16311526639638813,290881.2513000514,290881.2513000514
2,3,6,6,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.1631152274764733,0.003349182,0.32060337101574987,,404941.73932994844,True,0.1631152274764733,0.16311526639638813,3.8919914818746904e-08,3.8919914818746904e-08
2,3,6,7,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.41496124455536243,0.002200253,0.07022779795806855,,1.0,True,0.41496124455536243,0.41496124455536243,0.0,0.0
2,3,6,7,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-6474.6665773668665,0.006444708,0.3585219030501321,,1.0,True,-6474.6665773668665,0.41496124455536243,6475.081538611422,6475.081538611422
2,3,6,7,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.4149612136278365,0.003648443,0.3505507060326636,,192634.226274852,True,0.4149612136278365,0.41496124455536243,3.092752592914749e-08,3.092752592914749e-08
2,3,6,8,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,1.2983432085837912,0.002223075,0.06482180999591947,,1.0,True,1.2983432085837912,1.2983432085837912,0.0,0.0
2,3,6,8,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,exception,,,0.31204985291697085,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")",1.0,False,,1.2983432085837912,,
2,3,6,8,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,1.2983430661512905,0.002984389,0.32849938701838255,,405868.8222265503,True,1.2983430661512905,1.2983432085837912,1.4243250068268765e-07,1.0970327394252741e-07
2,3,6,9,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.19725515012254075,0.001858808,0.09938349900767207,,1.0,True,0.19725515012254075,0.19725515012254075,0.0,0.0
2,3,6,9,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal_inaccurate,-271002.70533447753,0.00694046,0.30320924101397395,,1.0,True,-271002.70533447753,0.19725515012254075,271002.90258962766,271002.90258962766
2,3,6,9,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.19725510189106743,0.001400411,0.22263548197224736,,288055.93021632405,True,0.19725510189106743,0.19725515012254075,4.8231473315230033e-08,4.8231473315230033e-08
3,2,4,0,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.0535615856661635,0.001281297,0.038882524939253926,,1.0,True,0.0535615856661635,0.0535615856661635,0.0,0.0
3,2,4,0,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.003071881,0.24705175799317658,,1.0,False,,0.0535615856661635,,
3,2,4,0,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.05356136069745539,0.002160643,0.20316936599556357,,268679.31347203924,True,0.05356136069745539,0.0535615856661635,2.249687081137819e-07,2.249687081137819e-07
3,2,4,1,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.17728612697417714,0.001425339,0.039723637979477644,,1.0,True,0.17728612697417714,0.17728612697417714,0.0,0.0
3,2,4,1,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.004008544,0.20831105404067785,,1.0,False,,0.17728612697417714,,
3,2,4,1,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,exception,,,0.17592580802738667,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")",232813.29126306874,False,,0.17728612697417714,,
3,2,4,2,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.19192774288537487,0.001471516,0.04235640703700483,,1.0,True,0.19192774288537487,0.19192774288537487,0.0,0.0
3,2,4,2,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.004039316,0.22357605397701263,,1.0,False,,0.19192774288537487,,
3,2,4,2,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.19192770007585339,0.002111421,0.18694511603098363,,343548.4895679851,True,0.19192770007585339,0.19192774288537487,4.280952148327799e-08,4.280952148327799e-08
3,2,4,3,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.2381900737877591,0.001396579,0.06536216498352587,,1.0,True,0.2381900737877591,0.2381900737877591,0.0,0.0
3,2,4,3,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.002838961,0.1743458160199225,,1.0,False,,0.2381900737877591,,
3,2,4,3,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.23819001327550876,0.002016219,0.2057617889950052,,520045.0923695023,True,0.23819001327550876,0.2381900737877591,6.051225034942043e-08,6.051225034942043e-08
3,2,4,4,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.06693108504161498,0.001328896,0.04240274999756366,,1.0,True,0.06693108504161498,0.06693108504161498,0.0,0.0
